ÀÏ½Ã,ÁöÁ¡,Æø¿°¿©ºÎ(O/X),ÃÖ°íÃ¼°¨¿Âµµ(¡ÆC),ÃÖ°í±â¿Â(¡ÆC),Æò±Õ±â¿Â(¡ÆC),ÃÖÀú±â¿Â(¡ÆC),Æò±Õ»ó´ë½Àµµ(%),Æø¿°Æ¯º¸(O/X),Æø¿°¿µÇâ¿¹º¸(´Ü°è),¿­´ë¾ß(O/X),ÀÚ¿Ü¼±Áö¼ö(´Ü°è)
6/1/2019,ºÏ°­¸ª(104),X,25.4,28.1,22.5,14.4,35.1,X, ,X,¸Å¿ì³ôÀ½
6/1/2019,µ¿ÇØ(106),X,23.4,25.1,20.2,15,39.3,X, ,X,³·À½
6/1/2019,¼­¿ï(108),X,23.4,23.7,18.9,14.8,60.5,X, ,X,³ôÀ½
6/1/2019,ÀÎÃµ(112),X,21.1,19.9,17,14.8,73.5,X, ,X,³ôÀ½
6/1/2019,¿øÁÖ(114),X,23.3,24.4,18.5,12.1,52.9,X, ,X,³·À½
6/1/2019,¿ï¸ªµµ(115),X,24,24.2,20.1,15.6,43.8,X, ,X,³·À½
6/1/2019,¼ö¿ø(119),X,24.7,24.6,17.9,12.6,71.6,X, ,X,³·À½
6/1/2019,¿µ¿ù(121),X,24.8,26,17.7,9,60.1,X, ,X,³·À½
6/1/2019,ÃæÁÖ(127),X,23.9,24.3,17.8,9.5,65.1,X, ,X,³·À½
6/1/2019,¼­»ê(129),X,22.7,22,,,,X, ,X,³ôÀ½
6/1/2019,¿ïÁø(130),X,24.5,25.5,19.7,15.1,47.3,X, ,X,³·À½
6/1/2019,Ã»ÁÖ(131),X,23.9,23.9,19.4,13.6,63,X, ,X,¸Å¿ì³ôÀ½
6/1/2019,´ëÀü(133),X,24.7,24.5,19.1,12.9,69.5,X, ,X,³ôÀ½
6/1/2019,ÃßÇ³·É(135),X,22.4,23.1,16.8,10,60,X, ,X,³·À½
6/1/2019,¾Èµ¿(136),X,24.1,24.8,18.2,10.5,63.5,X, ,X,³ôÀ½
6/1/2019,»óÁÖ(137),X,24.1,23.7,18.4,13,65.9,X, ,X,³·À½
6/1/2019,Æ÷Ç×(138),X,25.9,28.2,22.5,17,45.6,X, ,X,³·À½
6/1/2019,±º»ê(140),X,23.9,23.2,17.8,13,74.5,X, ,X,³·À½
6/1/2019,´ë±¸(143),X,25.1,27.2,21.3,14.5,46.5,X, ,X,¸Å¿ì³ôÀ½
6/1/2019,ÀüÁÖ(146),X,25.7,25.8,19.3,12.7,70.8,X, ,X,³ôÀ½
6/1/2019,¿ï»ê(152),X,24.5,25.4,19.7,14.6,61.8,X, ,X,³ôÀ½
6/1/2019,Ã¢¿ø(155),X,25.1,26.6,19.9,13.6,58.4,X, ,X,¸Å¿ì³ôÀ½
6/1/2019,±¤ÁÖ(156),X,26,27,19.6,13.5,68,X, ,X,³ôÀ½
6/1/2019,ºÎ»ê(159),X,24.3,24.8,19.8,16.2,60.9,X, ,X,¸Å¿ì³ôÀ½
