일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
8/1/2025,북강릉(104),X,32.5,30.3,26.8,23.2,86.8,O,주의,X,낮음
8/1/2025,동해(106),X,32.5,30.7,26.8,22.9,84.8,O,주의,X,낮음
8/1/2025,서울(108),O,34.8,35.1,31,27.8,66.9,O,경고,O,낮음
8/1/2025,인천(112),O,33.4,32.1,29.2,27.4,80.8,O,경고,O,낮음
8/1/2025,원주(114),O,35.5,36,30.1,25.1,66.8,O,경고,O,낮음
8/1/2025,울릉도(115),X,32.4,30.4,27.2,24.9,83.5,O,주의,X,낮음
8/1/2025,수원(119),O,34.1,34.4,29.4,25.5,69.9,O,경고,O,낮음
8/1/2025,영월(121),O,35,37.2,28.7,21.5,66.8,O,경고,X,낮음
8/1/2025,충주(127),O,34.5,35.9,29.5,23.4,70.4,O,경고,O,낮음
8/1/2025,서산(129),O,34.5,34.3,28.7,24.2,75.8,O,경고,O,낮음
8/1/2025,울진(130),X,32,30.1,26.7,21.5,81.3,O,경고,X,낮음
8/1/2025,청주(131),O,34.8,36.5,31.3,27.1,60.1,O,경고,O,낮음
8/1/2025,대전(133),O,34.9,35.8,30.4,25.1,64.5,O,경고,O,낮음
8/1/2025,추풍령(135),O,33.4,34.7,27.7,20.7,71.1,O,경고,X,낮음
8/1/2025,안동(136),O,34.9,35.7,29.1,22.2,66.6,O,경고,X,낮음
8/1/2025,상주(137),O,34.5,35.2,29.1,23.3,72.8,O,경고,X,낮음
8/1/2025,포항(138),X,32.2,30.6,28.1,26,79.8,O,경고,O,낮음
8/1/2025,군산(140),O,34.3,34,29,24.1,72.9,O,경고,X,낮음
8/1/2025,대구(143),O,34.4,37.2,30.4,23.6,59.4,O,경고,O,낮음
8/1/2025,전주(146),O,35.7,36.6,30.5,24.8,63.6,O,경고,O,낮음
8/1/2025,울산(152),O,33.6,32.9,28,23.6,75.8,X, ,X,낮음
8/1/2025,창원(155),O,34.3,34.3,28.7,24.4,76.9,O,경고,O,낮음
8/1/2025,광주(156),O,34.6,34.7,29.8,24.5,67.1,O,경고,O,낮음
8/1/2025,부산(159),O,34.7,33.6,29.4,26.3,76.4,X, ,O,낮음
8/1/2025,통영(162),O,34.2,33.7,29.1,25.2,74.3,O,경고,O,낮음
8/1/2025,목포(165),O,34.7,34,29.3,25.4,74.4,O,경고,O,낮음
8/1/2025,여수(168),O,33.2,32.8,28.9,25.6,73.8,O,경고,O,낮음
8/1/2025,흑산도(169),O,35,34.2,28,24.1,77.9,O,경고,O,낮음
8/1/2025,완도(170),O,36.6,36.4,29.7,24.6,75.6,O,경고,X,낮음
8/1/2025,고창(172),O,34.9,35.2,28.7,23,73,O,경고,X,낮음
8/1/2025,제주(184),O,33.8,34.4,30,27.5,71.6,O,경고,O,낮음
8/1/2025,진주(192),O,34.7,35.7,27.6,20.2,74.3,O,경고,X,낮음
8/1/2025,양평(202),O,33.6,34.2,29.1,24.7,72.1,O,경고,O,낮음
8/1/2025,이천(203),O,35.5,35.6,29.6,23.9,74,O,경고,O,낮음
8/1/2025,인제(211),O,34.1,34.4,27.5,22.5,75.8,O,경고,X,낮음
8/1/2025,홍천(212),O,34.5,35.4,28.6,23.1,72.6,O,경고,X,낮음
8/1/2025,태백(216),X,32.3,34,25,17.2,72.4,X,관심,X,낮음
8/1/2025,정선군(217),O,36.2,38.6,28.8,21.1,66.6,O,경고,X,낮음
8/1/2025,제천(221),O,33.2,35.2,27.6,21.4,74.3,O,경고,X,낮음
8/1/2025,보은(226),O,33.6,34.2,27.9,22,74.9,O,경고,X,낮음
8/1/2025,천안(232),O,34.4,34.8,28.5,23.1,74.5,O,경고,X,낮음
8/1/2025,보령(235),O,35,35.6,29.3,24.4,69.8,O,경고,X,낮음
8/1/2025,부여(236),O,35.2,35.9,29.2,23.2,72.9,O,경고,X,낮음
8/1/2025,금산(238),O,34.7,35.6,28.7,21.8,70.3,O,경고,X,낮음
8/1/2025,세종(239),O,35,35.6,29.4,24.1,69.5,O,경고,X,낮음
8/1/2025,부안(243),O,34,34.5,28.7,23.8,71.6,O,경고,X,낮음
8/1/2025,임실(244),O,33.8,34.2,27.5,20.3,73,O,경고,X,낮음
8/1/2025,정읍(245),O,36.1,37.2,30.1,23.5,66.9,O,경고,X,낮음
8/1/2025,남원(247),O,35.5,35.9,28.7,21.3,70.5,O,경고,X,낮음
8/1/2025,장수(248),O,33.4,33.4,26.2,18.1,77.4,O,경고,X,낮음
8/1/2025,영광군(252),O,34.6,34.9,28.8,23.5,69.6,O,경고,X,낮음
8/1/2025,김해시(253),O,35.8,35.4,29,24,76.8,O,경고,O,낮음
8/1/2025,순창군(254),O,35.5,36.6,28.8,21.8,70.9,O,경고,X,낮음
8/1/2025,양산시(257),O,37,37.3,30,23.9,74.8,O,경고,O,낮음
8/1/2025,강진군(259),O,35.1,34.8,29,23.4,78.3,O,경고,X,낮음
8/1/2025,장흥(260),O,34.7,34.4,28.2,22.6,80.6,O,경고,X,낮음
8/1/2025,해남(261),O,35.5,35.8,29.2,23.2,77.3,O,경고,X,낮음
8/1/2025,고흥(262),O,35.7,35.4,29.1,23,77.3,O,경고,X,낮음
8/1/2025,의령군(263),O,35.3,35.8,27.8,20,76.9,O,경고,X,낮음
8/1/2025,함양군(264),O,35,36.2,28,20.2,71.1,O,경고,X,낮음
8/1/2025,진도군ASOS(268),O,34.1,33.6,27.9,22.6,78.6,O,경고,X,낮음
8/1/2025,봉화(271),O,33.7,35.1,26.1,17.4,69.4,O,경고,X,낮음
8/1/2025,영주(272),O,33.5,35,27.5,19.9,69.3,O,경고,X,낮음
8/1/2025,문경(273),O,34.2,34.9,28.2,21.9,74.8,O,경고,X,낮음
8/1/2025,청송군(276),O,35.4,38.2,27.5,18.5,62.1,O,경고,X,낮음
8/1/2025,영덕(277),O,33.4,32.2,26.6,21.7,85.4,O,경고,X,낮음
8/1/2025,의성(278),O,35.1,37.2,28.7,20.7,65.9,O,경고,X,낮음
8/1/2025,구미(279),O,35.6,37.4,29.9,23.5,64.3,O,경고,X,낮음
8/1/2025,영천(281),O,34.4,35.4,27.9,21.7,70.1,O,경고,X,낮음
8/1/2025,경주시(283),O,35.9,36.5,28.4,21.7,73,O,경고,X,낮음
8/1/2025,거창(284),O,35.2,35.9,27.7,20.3,72.8,O,경고,X,낮음
8/1/2025,합천(285),O,35.7,37,28.8,21.4,70.9,O,경고,X,낮음
8/1/2025,밀양(288),O,36.8,38.4,30.7,23.2,66.5,O,경고,O,낮음
8/1/2025,산청(289),O,35.2,36,28.1,20.7,73.6,O,경고,X,낮음
8/1/2025,거제(294),O,34.6,34.3,28.8,24.9,76,O,경고,X,낮음
8/1/2025,남해(295),O,33.8,34.3,28,23.3,75.3,O,경고,X,낮음
8/1/2025,부천(433),O,34.9,35.6,30.7,28,67,O,경고,O,낮음
8/1/2025,안양(434),X,31.9,34.8,30.7,28,,O,경고,O,낮음
8/1/2025,광명(437),O,35.5,36.4,31.7,29.4,61,O,경고,O,낮음
8/1/2025,군포(438),O,34.9,35.7,30.7,27.4,60,O,경고,O,낮음
8/1/2025,김포(441),O,36,35.5,29.4,26,80,O,경고,O,낮음
8/1/2025,하남(444),O,35.5,36.4,29.9,25,72,O,경고,O,낮음
8/1/2025,의왕(445),O,35.4,34.8,28.9,24.1,73,O,경고,X,낮음
8/1/2025,포천(504),O,34.7,34.6,28.7,24,75,O,경고,X,낮음
8/1/2025,가평조종(505),O,34.8,34.5,28,22.9,80,O,경고,X,낮음
8/1/2025,안성(516),O,35.9,36.7,30.1,24.7,71,O,경고,O,낮음
8/1/2025,간성(517),X,32.2,30.5,26.2,24,82,O,주의,X,낮음
8/1/2025,평창(526),O,33.9,35.5,27.6,20.9,70,O,주의,X,낮음
8/1/2025,의정부(532),O,35.1,35.2,29.1,25.3,76,O,경고,X,낮음
8/1/2025,횡성(536),O,35.4,36.6,28.8,22.7,71,O,경고,X,낮음
8/1/2025,고양(540),O,35.6,35.3,28.3,23.9,79,O,경고,X,낮음
8/1/2025,남양주(541),O,35.3,35.9,30,25.5,70,O,경고,O,낮음
8/1/2025,안산(545),O,36.1,35.8,28.7,23.6,82,O,경고,X,낮음
8/1/2025,경기광주(546),O,34.2,34.7,29,24.6,73,O,경고,X,낮음
8/1/2025,여주(548),O,35.5,35.8,29.6,24.4,72,O,경고,O,낮음
8/1/2025,용인(549),O,36.4,37.2,30.1,24.1,68,O,경고,O,낮음
8/1/2025,오산(550),O,35.1,36.5,29.3,23.6,71,O,경고,X,낮음
8/1/2025,평택(551),O,35.4,35.8,29.4,25,77,O,경고,O,낮음
8/1/2025,화천(555),O,35,34.7,28,23.3,78,O,경고,X,낮음
8/1/2025,양구(556),O,33.9,34.9,27.5,22.4,77,O,경고,X,낮음
8/1/2025,시흥(565),O,34.5,34.1,29.3,25.1,76,O,경고,O,낮음
8/1/2025,구리(569),O,34.8,35.4,29.9,25,67,O,경고,O,낮음
8/1/2025,화성(571),O,35.3,35.8,29.4,25.3,74,O,경고,O,낮음
8/1/2025,성남(572),O,34.3,35,29.8,25.6,67,O,경고,O,낮음
8/1/2025,과천(590),O,35.2,35.1,29,24.1,73,O,경고,O,낮음
8/1/2025,양주(598),X,,,,,,O,경고,X,낮음
8/1/2025,단양(601),O,34.2,35.9,28,21.2,69,O,경고,X,낮음
8/1/2025,진천(602),O,34.1,35,29,23.1,71,O,경고,X,낮음
8/1/2025,괴산(603),O,35,35.6,28.8,22.5,73,O,경고,X,낮음
8/1/2025,옥천(604),O,34.9,35.6,29,22.7,74,O,경고,X,낮음
8/1/2025,홍북(608),X,,,,,,O,경고,X,낮음
8/1/2025,공주(612),O,34.6,35.8,29.2,23.2,72,O,경고,X,낮음
8/1/2025,서천(614),O,34,33.4,28,23.6,79,O,경고,X,낮음
8/1/2025,논산(615),X,,,,,,O,경고,X,낮음
8/1/2025,당진(616),O,35.3,35.9,28.7,23.9,77,O,경고,X,낮음
8/1/2025,청양(618),O,34.7,35.1,27.9,22.2,78,O,경고,X,낮음
